cluster_label,ra_deg_param,dec_deg_param,r_sun_display_param,r_gc_kpc_display_param,n_rv,n_pm,present_mass_display,v_mag_display,mass_to_light_display,core_radius_pc,half_light_radius_pc,half_mass_radius_pc,tidal_radius_pc,log_core_density,log_half_mass_density,log_relaxation_time_yr,log_initial_mass_msun,remaining_dissolution_time_gyr,mass_range_display,mf_slope_display,sigma0_kms,vesc_kms,eta_core,eta_half_mass,rotation_amplitude_display,rotation_probability_percent,r_sun_kpc_param,r_gc_kpc_param,present_mass_msun,v_mag,mass_to_light_v,mf_slope,rotation_amplitude_kms,ra_deg,dec_deg,galactic_l_deg,galactic_b_deg,r_sun_display,r_gc_kpc_display,rv_kms_display,pmra_masyr_display,pmdec_masyr_display,pm_correlation,x_kpc_display,y_kpc_display,z_kpc_display,u_kms_display,v_kms_display,w_kms_display,r_peri_kpc_display,r_apo_kpc_display,r_sun_kpc,r_gc_kpc,rv_kms,pmra_masyr,pmdec_masyr,x_kpc,y_kpc,z_kpc,u_kms,v_kms,w_kms,r_peri_kpc,r_apo_kpc,cluster_name,cluster_alias,semi_major_axis_kpc,eccentricity,initial_mass_msun,mass_loss_fraction,radius_bin_paper
NGC 6712,283.26802,-8.70596,7.38 ± 0.24,3.55 ± 0.01,216,350,9.50 ± 0.71 · 104,8.60 ± 0.03,1.56 ± 0.12,0.67,2.55,3.5,33.25,3.68,2.42,8.82,6.15,1.7,0.35 − 0.84,-0.24 ± 0.17,4.9,19.2,-0.35,-0.13,0.58 ± 0.69,45.8,7.38,3.55,95000.0,8.6,1.56,-0.24,0.58,283.268021,-8.70596,25.354,-4.318,7.38 ± 0.24,3.55 ± 0.01,-107.45 ± 0.29,3.355 ± 0.007,-4.440 ± 0.007,0.13,1.53 ± 0.21,3.15 ± 0.10,-0.56 ± 0.02,60.92 ± 0.28,123.26 ± 0.26,-159.05 ± 0.26,0.45 ± 0.10,4.84 ± 0.13,7.38,3.55,-107.45,3.355,-4.44,1.53,3.15,-0.56,60.92,123.26,-159.05,0.45,4.84,NGC 6712,,2.645,0.829867674858223,1412537.5446227554,0.9327451504835069,inner_<3kpc
Patchick 126,256.41083,-47.34222,8.00 ± 0.50,2.81 ± 0.06,7,0,5.39 ± 3.55 · 103,14.42 ± 0.30,2.53 ± 1.81,0.13,1.12,1.53,12.86,4.3,2.25,7.53,5.38,0.5,—,0.51 ± 0.30,1.9,7.7,-0.4,-0.11,,,8.0,2.81,5390.0,14.42,2.53,0.51,,256.410833,-47.342222,340.381,-3.826,8.00 ± 0.50,2.81 ± 0.06,-122.14 ± 0.77,-4.859 ± 0.038,-6.832 ± 0.033,-0.04,0.66 ± 0.47,-2.68 ± 0.17,-0.53 ± 0.03,210.96 ± 0.85,-6.02 ± 1.28,6.65 ± 1.36,2.23 ± 0.30,3.23 ± 0.07,8.0,2.81,-122.14,-4.859,-6.832,0.66,-2.68,-0.53,210.96,-6.02,6.65,2.23,3.23,Patchick 126,,2.73,0.18315018315018314,239883.29190194898,0.9775307402309489,inner_<3kpc
NGC 6535,270.96045,-0.29764,6.36 ± 0.12,4.04 ± 0.02,29,268,1.98 ± 0.19 · 104,10.10 ± 0.04,2.38 ± 0.25,0.2,2.7,3.43,24.7,4.13,1.77,8.44,5.77,0.8,0.29 − 0.79,1.13 ± 0.18,2.5,10.2,-0.35,-0.11,,,6.36,4.04,19800.0,10.1,2.38,1.13,,270.960449,-0.297639,27.176,10.436,6.36 ± 0.12,4.04 ± 0.02,-214.85 ± 0.46,-4.213 ± 0.014,-2.935 ± 0.013,0.19,2.61 ± 0.11,2.86 ± 0.06,1.15 ± 0.02,125.60 ± 0.45,27.55 ± 0.41,38.55 ± 0.41,0.96 ± 0.05,4.52 ± 0.05,6.36,4.04,-214.85,-4.213,-2.935,2.61,2.86,1.15,125.6,27.55,38.55,0.96,4.52,NGC 6535,,2.7399999999999998,0.6496350364963503,588843.6553555884,0.9663747756812574,inner_<3kpc
Ter 12,273.06583,-22.74194,5.17 ± 0.38,3.17 ± 0.34,15,198,3.76 ± 0.87 · 104,13.82 ± 0.11,1.59 ± 0.40,0.66,1.78,2.71,24.89,3.5,2.38,8.41,5.58,2.7,0.58 − 0.95,-1.31 ± 0.35,3.3,13.1,-0.35,-0.14,,,5.17,3.17,37600.0,13.82,1.59,-1.31,,273.065833,-22.741944,8.358,-2.101,5.17 ± 0.38,3.17 ± 0.34,94.01 ± 0.72,-6.234 ± 0.016,-3.063 ± 0.013,0.39,3.07 ± 0.38,0.75 ± 0.06,-0.19 ± 0.01,-127.81 ± 0.71,128.87 ± 0.36,101.76 ± 0.39,1.79 ± 0.22,3.73 ± 0.43,5.17,3.17,94.01,-6.234,-3.063,3.07,0.75,-0.19,-127.81,128.87,101.76,1.79,3.73,Ter 12,,2.76,0.35144927536231885,380189.39632056124,0.9011019235047336,inner_<3kpc
NGC 6539,271.20728,-7.58586,8.16 ± 0.39,3.09 ± 0.07,123,528,2.15 ± 0.16 · 105,9.94 ± 0.04,1.97 ± 0.16,1.39,3.69,5.16,44.86,3.22,2.27,9.26,5.86,13.9,0.59 − 0.83,-0.65 ± 0.17,6.0,22.5,-0.31,-0.1,1.94 ± 1.15,95.9,8.16,3.09,215000.0,9.94,1.97,-0.65,1.94,271.207276,-7.585858,20.795,6.776,8.16 ± 0.39,3.09 ± 0.07,35.19 ± 0.50,-6.883 ± 0.009,-3.549 ± 0.008,0.41,0.60 ± 0.36,2.88 ± 0.14,0.96 ± 0.05,-113.35 ± 0.48,25.57 ± 0.35,178.27 ± 0.34,2.14 ± 0.15,3.42 ± 0.17,8.16,3.09,35.19,-6.883,-3.549,0.6,2.88,0.96,-113.35,25.57,178.27,2.14,3.42,NGC 6539,,2.7800000000000002,0.23021582733812945,724435.9600749906,0.7032173831103801,inner_<3kpc
NGC 5986,236.5125,-37.78642,10.54 ± 0.13,4.85 ± 0.08,244,3733,2.99 ± 0.05 · 105,7.70 ± 0.04,1.71 ± 0.07,0.75,2.84,4.35,68.63,4.02,2.64,9.24,6.25,5.7,0.43 − 0.76,-0.59 ± 0.17,8.0,30.6,-0.33,-0.11,1.65 ± 0.93,97.7,10.54,4.85,299000.0,7.7,1.71,-0.59,1.65,236.512497,-37.786415,337.022,13.268,10.54 ± 0.13,4.85 ± 0.08,101.18 ± 0.43,-4.180 ± 0.017,-4.565 ± 0.017,-0.15,-1.27 ± 0.12,-4.00 ± 0.05,2.42 ± 0.03,8.15 ± 0.53,-71.93 ± 0.78,-13.39 ± 0.81,0.54 ± 0.08,5.03 ± 0.09,10.54,4.85,101.18,-4.18,-4.565,-1.27,-4.0,2.42,8.15,-71.93,-13.39,0.54,5.03,NGC 5986,,2.785,0.8061041292639138,1778279.410038923,0.8318599437680856,inner_<3kpc
NGC 5946,233.86905,-50.65971,9.64 ± 0.51,5.20 ± 0.26,38,130,1.13 ± 0.16 · 105,9.49 ± 0.08,1.91 ± 0.30,0.37,1.96,2.83,47.08,4.41,2.79,8.68,6.19,2.1,0.52 − 0.80,-0.65 ± 0.16,6.2,24.3,-0.38,-0.11,,,9.64,5.2,112999.99999999999,9.49,1.91,-0.65,,233.869051,-50.659713,327.583,4.191,9.64 ± 0.51,5.20 ± 0.26,137.60 ± 0.94,-5.317 ± 0.015,-1.639 ± 0.015,-0.2,0.06 ± 0.43,-5.16 ± 0.27,0.70 ± 0.04,7.20 ± 0.88,-21.45 ± 0.77,98.68 ± 0.70,0.48 ± 0.15,5.13 ± 0.32,9.64,5.2,137.6,-5.317,-1.639,0.06,-5.16,0.7,7.2,-21.45,98.68,0.48,5.13,NGC 5946,,2.8049999999999997,0.8288770053475937,1548816.6189124826,0.927041072119084,inner_<3kpc
NGC 6681 M 70,280.80316,-32.29211,9.36 ± 0.11,2.29 ± 0.06,1853,2228,1.05 ± 0.02 · 105,7.91 ± 0.04,1.68 ± 0.07,0.07,2.16,3.04,27.47,6.03,2.66,8.71,5.97,3.4,0.23 − 0.78,-0.17 ± 0.13,6.5,25.3,-0.38,-0.13,,,9.36,2.29,105000.0,7.91,1.68,-0.17,,280.803162,-32.29211,2.853,-12.51,9.36 ± 0.11,2.29 ± 0.06,216.62 ± 0.84,1.420 ± 0.013,-4.730 ± 0.012,0.22,-0.95 ± 0.10,0.45 ± 0.01,-2.03 ± 0.02,-199.39 ± 0.84,96.15 ± 0.55,-180.24 ± 0.58,0.81 ± 0.04,4.98 ± 0.18,9.36,2.29,216.62,1.42,-4.73,-0.95,0.45,-2.03,-199.39,96.15,-180.24,0.81,4.98,NGC 6681,M 70,2.8950000000000005,0.7202072538860103,933254.3007969905,0.8874904729500512,inner_<3kpc
NGC 6544,271.83383,-24.99822,2.58 ± 0.06,5.62 ± 0.06,83,382,8.15 ± 0.56 · 104,7.86 ± 0.23,2.30 ± 0.52,0.2,1.54,2.24,47.75,5.42,2.94,8.39,6.02,1.9,0.38 − 0.82,-0.49 ± 0.19,6.3,25.2,-0.37,-0.08,,,2.58,5.62,81500.0,7.86,2.3,-0.49,,271.833833,-24.998222,5.837,-2.202,2.58 ± 0.06,5.62 ± 0.06,-38.46 ± 0.67,-2.269 ± 0.026,-18.615 ± 0.026,0.02,5.61 ± 0.06,0.26 ± 0.01,-0.10 ± 0.00,8.81 ± 0.67,36.42 ± 0.33,-77.57 ± 0.32,0.56 ± 0.06,5.53 ± 0.12,2.58,5.62,-38.46,-2.269,-18.615,5.61,0.26,-0.1,8.81,36.42,-77.57,0.56,5.53,NGC 6544,,3.045,0.8160919540229886,1047128.5480508985,0.9221681042392529,mid_3_15kpc
Lynga 7,242.76521,-55.31778,7.90 ± 0.16,4.35 ± 0.03,26,294,6.75 ± 0.90 · 104,9.87 ± 0.14,1.41 ± 0.26,1.32,3.91,4.97,38.42,2.77,1.82,8.97,5.67,4.7,0.32 − 0.80,0.30 ± 0.16,3.4,12.8,-0.31,-0.13,,,7.9,4.35,67500.0,9.87,1.41,0.3,,242.765213,-55.317776,328.769,-2.797,7.90 ± 0.16,4.35 ± 0.03,17.86 ± 0.83,-3.836 ± 0.061,-7.071 ± 0.053,0.19,1.43 ± 0.14,-4.09 ± 0.08,-0.39 ± 0.01,125.71 ± 1.32,1.23 ± 1.90,-89.33 ± 2.11,1.79 ± 0.07,4.38 ± 0.08,7.9,4.35,17.86,-3.836,-7.071,1.43,-4.09,-0.39,125.71,1.23,-89.33,1.79,4.38,Lynga 7,,3.085,0.419773095623987,467735.1412871981,0.8556875589585993,mid_3_15kpc
NGC 6441,267.55441,-37.05145,12.73 ± 0.16,4.78 ± 0.15,5533,5975,1.39 ± 0.01 · 106,7.12 ± 0.08,1.86 ± 0.14,0.64,2.14,4.3,108.31,4.95,3.33,9.5,6.48,57.0,0.49 − 0.81,-0.88 ± 0.21,17.6,69.4,-0.33,-0.05,1.52 ± 1.66,55.3,12.73,4.78,1390000.0,7.12,1.86,-0.88,1.52,267.554413,-37.051445,353.532,-5.006,12.73 ± 0.16,4.78 ± 0.15,18.47 ± 0.56,-2.566 ± 0.020,-5.373 ± 0.020,0.17,-4.42 ± 0.16,-1.43 ± 0.02,-1.11 ± 0.01,13.63 ± 0.58,-105.17 ± 1.20,-25.31 ± 1.20,1.61 ± 0.13,4.70 ± 0.14,12.73,4.78,18.47,-2.566,-5.373,-4.42,-1.43,-1.11,13.63,-105.17,-25.31,1.61,4.7,NGC 6441,,3.1550000000000002,0.48969889064976224,3019951.720402019,0.5397277411391987,mid_3_15kpc
NGC 6749,286.31406,1.89976,7.59 ± 0.21,4.94 ± 0.04,17,44,2.05 ± 0.41 · 105,10.91 ± 0.06,1.35 ± 0.28,1.48,4.17,6.1,62.96,3.06,2.04,9.4,5.85,11.3,—,-0.71 ± 0.30,5.4,20.5,-0.35,-0.1,,,7.59,4.94,204999.99999999997,10.91,1.35,-0.71,,286.314056,1.899756,36.2,-2.205,7.59 ± 0.21,4.94 ± 0.04,-58.44 ± 0.96,-2.872 ± 0.027,-5.981 ± 0.027,0.1,2.06 ± 0.17,4.48 ± 0.13,-0.29 ± 0.01,-104.73 ± 0.96,25.00 ± 0.96,2.83 ± 0.97,1.43 ± 0.06,4.95 ± 0.05,7.59,4.94,-58.44,-2.872,-5.981,2.06,4.48,-0.29,-104.73,25.0,2.83,1.43,4.95,NGC 6749,,3.19,0.5517241379310346,707945.7843841374,0.7104298033523352,mid_3_15kpc
NGC 6553,272.32299,-25.90807,5.33 ± 0.13,2.93 ± 0.12,521,1022,2.29 ± 0.09 · 105,8.04 ± 0.06,2.59 ± 0.18,0.52,2.3,2.88,47.83,4.37,3.06,8.8,5.86,17.9,0.53 − 0.84,-0.17 ± 0.20,8.5,32.8,-0.37,-0.12,2.33 ± 0.82,100.0,5.33,2.93,229000.0,8.04,2.59,-0.17,2.33,272.322992,-25.908067,5.253,-3.029,5.33 ± 0.13,2.93 ± 0.12,-0.27 ± 0.34,0.354 ± 0.013,-0.427 ± 0.013,0.22,2.88 ± 0.13,0.49 ± 0.01,-0.28 ± 0.01,-10.62 ± 0.34,247.02 ± 0.33,-5.76 ± 0.33,2.82 ± 0.13,3.62 ± 0.11,5.33,2.93,-0.27,0.354,-0.427,2.88,0.49,-0.28,-10.62,247.02,-5.76,2.82,3.62,NGC 6553,,3.2199999999999998,0.1242236024844721,724435.9600749906,0.6838920034059397,mid_3_15kpc
NGC 6254 M 10,254.28772,-4.10031,5.07 ± 0.06,4.35 ± 0.03,5446,2796,1.89 ± 0.03 · 105,6.61 ± 0.04,1.71 ± 0.07,0.74,2.99,4.75,53.76,3.79,2.32,9.22,5.83,12.8,0.22 − 0.78,-0.60 ± 0.13,6.2,23.9,-0.38,-0.12,0.26 ± 0.56,12.0,5.07,4.35,189000.0,6.61,1.71,-0.6,0.26,254.28772,-4.100306,15.137,23.076,5.07 ± 0.06,4.35 ± 0.03,74.21 ± 0.23,-4.763 ± 0.011,-6.611 ± 0.011,-0.07,3.68 ± 0.06,1.22 ± 0.02,1.99 ± 0.03,-122.90 ± 0.24,80.21 ± 0.26,48.71 ± 0.26,1.91 ± 0.02,4.60 ± 0.04,5.07,4.35,74.21,-4.763,-6.611,3.68,1.22,1.99,-122.9,80.21,48.71,1.91,4.6,NGC 6254,M 10,3.255,0.41321044546850993,676082.9753919819,0.7204485146362088,mid_3_15kpc
Ter 10,270.74083,-26.06694,10.21 ± 0.40,2.17 ± 0.37,12,58,3.19 ± 0.98 · 105,14.73 ± 0.10,5.84 ± 1.87,0.3,3.46,4.67,41.55,4.92,2.57,9.23,6.07,12.6,0.20 − 0.80,0.00 ± 0.32,8.8,35.2,-0.4,-0.06,,,10.21,2.17,319000.0,14.73,5.84,0.0,,270.740833,-26.066944,4.421,-1.864,10.21 ± 0.40,2.17 ± 0.37,211.37 ± 2.27,-6.806 ± 0.030,-2.595 ± 0.023,0.03,-2.00 ± 0.40,0.79 ± 0.03,-0.33 ± 0.01,-249.96 ± 2.25,-1.58 ± 1.20,225.31 ± 1.36,1.07 ± 0.28,5.60 ± 1.10,10.21,2.17,211.37,-6.806,-2.595,-2.0,0.79,-0.33,-249.96,-1.58,225.31,1.07,5.6,Ter 10,,3.335,0.6791604197901049,1174897.5549395303,0.7284869658134421,mid_3_15kpc
NGC 6218 M 12,251.80907,-1.94853,5.11 ± 0.05,4.57 ± 0.02,3116,4147,1.06 ± 0.02 · 105,7.09 ± 0.04,1.89 ± 0.08,1.16,2.72,4.08,45.62,3.16,2.27,8.93,5.69,8.5,0.20 − 0.78,-0.31 ± 0.15,4.7,17.6,-0.35,-0.13,0.93 ± 0.37,100.0,5.11,4.57,106000.0,7.09,1.89,-0.31,0.93,251.809067,-1.948528,15.715,26.313,5.11 ± 0.05,4.57 ± 0.02,-41.67 ± 0.14,-0.198 ± 0.005,-6.804 ± 0.005,0.13,3.77 ± 0.04,1.24 ± 0.01,2.26 ± 0.02,-49.03 ± 0.14,114.68 ± 0.13,-85.24 ± 0.13,2.15 ± 0.02,4.71 ± 0.01,5.11,4.57,-41.67,-0.198,-6.804,3.77,1.24,2.26,-49.03,114.68,-85.24,2.15,4.71,NGC 6218,M 12,3.4299999999999997,0.3731778425655977,489778.81936844665,0.7835757778650301,mid_3_15kpc
NGC 6352,261.37128,-48.42217,5.54 ± 0.07,3.51 ± 0.04,67,1394,6.02 ± 0.21 · 104,8.06 ± 0.04,2.05 ± 0.10,0.85,3.23,4.8,31.54,3.14,1.81,8.98,5.49,6.4,0.23 − 0.83,-0.37 ± 0.16,3.4,13.2,-0.37,-0.11,,,5.54,3.51,60199.99999999999,8.06,2.05,-0.37,,261.371277,-48.422169,341.421,-7.166,5.54 ± 0.07,3.51 ± 0.04,-125.63 ± 1.01,-2.169 ± 0.008,-4.430 ± 0.008,0.17,2.96 ± 0.07,-1.75 ± 0.02,-0.69 ± 0.01,149.96 ± 0.96,170.76 ± 0.37,6.51 ± 0.24,3.09 ± 0.02,3.94 ± 0.07,5.54,3.51,-125.63,-2.169,-4.43,2.96,-1.75,-0.69,149.96,170.76,6.51,3.09,3.94,NGC 6352,,3.5149999999999997,0.12091038406827882,309029.5432513592,0.8051966185283639,mid_3_15kpc
NGC 6121 M 4,245.89674,-26.52575,1.85 ± 0.02,6.45 ± 0.01,2865,10976,9.04 ± 0.11 · 104,5.65 ± 0.04,1.65 ± 0.06,0.45,2.5,3.95,53.94,3.99,2.25,8.94,6.01,2.3,0.44 − 0.80,-0.33 ± 0.15,4.7,18.8,-0.39,-0.11,0.22 ± 0.17,81.8,1.85,6.45,90399.99999999999,5.65,1.65,-0.33,0.22,245.896744,-26.525749,350.973,15.972,1.85 ± 0.02,6.45 ± 0.01,71.22 ± 0.13,-12.511 ± 0.007,-19.017 ± 0.007,-0.21,6.42 ± 0.02,-0.28 ± 0.00,0.51 ± 0.00,-56.21 ± 0.13,45.28 ± 0.06,-3.04 ± 0.07,0.62 ± 0.07,6.52 ± 0.13,1.85,6.45,71.22,-12.511,-19.017,6.42,-0.28,0.51,-56.21,45.28,-3.04,0.62,6.52,NGC 6121,M 4,3.57,0.8263305322128851,1023292.9922807537,0.9116577552255947,mid_3_15kpc
NGC 6496,269.76535,-44.26595,9.64 ± 0.15,2.81 ± 0.09,203,585,7.44 ± 0.74 · 104,8.65 ± 0.09,1.76 ± 0.23,2.55,4.26,7.01,29.12,2.08,1.41,9.26,5.54,7.4,0.31 − 0.82,-0.25 ± 0.16,3.0,10.8,-0.24,-0.1,1.21 ± 0.63,97.1,9.64,2.81,74400.0,8.65,1.76,-0.25,1.21,269.76535,-44.265945,348.027,-10.014,9.64 ± 0.15,2.81 ± 0.09,-134.72 ± 0.26,-3.066 ± 0.006,-9.257 ± 0.005,0.16,-1.11 ± 0.15,-1.97 ± 0.03,-1.68 ± 0.03,222.91 ± 0.26,-146.82 ± 0.24,-45.56 ± 0.25,2.62 ± 0.12,4.56 ± 0.29,9.64,2.81,-134.72,-3.066,-9.257,-1.11,-1.97,-1.68,222.91,-146.82,-45.56,2.62,4.56,NGC 6496,,3.59,0.2701949860724233,346736.85045253165,0.7854280561673805,mid_3_15kpc
NGC 6809 M 55,294.99878,-30.96475,5.35 ± 0.05,4.01 ± 0.03,542,1564,1.97 ± 0.06 · 105,6.29 ± 0.03,2.10 ± 0.08,2.49,4.6,6.78,52.03,2.54,1.88,9.5,5.88,11.9,0.16 − 0.67,-0.93 ± 0.13,5.0,18.1,-0.32,-0.12,0.88 ± 0.38,99.9,5.35,4.01,197000.0,6.29,2.1,-0.93,0.88,294.998779,-30.96475,8.793,-23.272,5.35 ± 0.05,4.01 ± 0.03,174.70 ± 0.17,-3.435 ± 0.007,-9.296 ± 0.007,-0.05,3.32 ± 0.05,0.75 ± 0.01,-2.11 ± 0.02,-210.78 ± 0.17,28.97 ± 0.17,-55.46 ± 0.17,1.60 ± 0.00,5.62 ± 0.03,5.35,4.01,174.7,-3.435,-9.296,3.32,0.75,-2.11,-210.78,28.97,-55.46,1.6,5.62,NGC 6809,M 55,3.6100000000000003,0.5567867036011079,758577.5750291835,0.7403034225043877,mid_3_15kpc
FSR 1716,242.625,-53.74889,7.43 ± 0.27,4.14 ± 0.02,14,28,5.66 ± 1.97 · 104,13.06 ± 0.11,8.08 ± 2.94,1.78,3.7,5.26,34.12,2.4,1.67,9.01,5.52,5.4,—,-0.37 ± 0.30,3.0,11.1,-0.28,-0.12,,,7.43,4.14,56600.0,13.06,8.08,-0.37,,242.625,-53.748889,329.778,-1.593,7.43 ± 0.27,4.14 ± 0.02,-30.70 ± 0.98,-4.407 ± 0.029,-8.862 ± 0.026,-0.11,1.76 ± 0.23,-3.74 ± 0.13,-0.21 ± 0.01,182.51 ± 0.98,-12.33 ± 0.97,-115.33 ± 0.97,2.35 ± 0.10,4.90 ± 0.13,7.43,4.14,-30.7,-4.407,-8.862,1.76,-3.74,-0.21,182.51,-12.33,-115.33,2.35,4.9,FSR 1716,,3.625,0.3517241379310345,331131.1214825908,0.8290707326252458,mid_3_15kpc
NGC 6333 M 9,259.79909,-18.51626,8.30 ± 0.14,1.73 ± 0.02,51,576,3.08 ± 0.23 · 105,7.65 ± 0.04,2.04 ± 0.17,0.81,2.74,3.81,33.26,3.99,2.82,9.11,6.03,13.9,0.36 − 0.78,-0.39 ± 0.21,8.6,32.4,-0.33,-0.11,,,8.3,1.73,308000.0,7.65,2.04,-0.39,,259.799086,-18.516257,5.544,10.705,8.30 ± 0.14,1.73 ± 0.02,310.75 ± 2.12,-2.179 ± 0.009,-3.213 ± 0.008,0.07,0.06 ± 0.14,0.79 ± 0.01,1.54 ± 0.03,-329.48 ± 2.06,129.70 ± 0.38,66.52 ± 0.51,1.22 ± 0.02,6.14 ± 0.12,8.3,1.73,310.75,-2.179,-3.213,0.06,0.79,1.54,-329.48,129.7,66.52,1.22,6.14,NGC 6333,M 9,3.6799999999999997,0.6684782608695653,1071519.305237607,0.712557675354527,mid_3_15kpc
NGC 6284,256.12011,-24.7648,14.21 ± 0.42,6.32 ± 0.40,39,62,1.74 ± 0.29 · 105,8.99 ± 0.08,1.79 ± 0.33,0.27,2.94,4.04,73.28,4.77,2.49,9.03,5.92,7.3,0.43 − 0.82,-0.05 ± 0.16,6.8,27.6,-0.38,-0.1,,,14.21,6.32,174000.0,8.99,1.79,-0.05,,256.120114,-24.764799,358.347,9.939,14.21 ± 0.42,6.32 ± 0.40,28.62 ± 0.73,-3.205 ± 0.014,-2.004 ± 0.014,0.1,-5.81 ± 0.41,-0.40 ± 0.01,2.45 ± 0.07,-16.17 ± 0.74,15.56 ± 0.94,105.21 ± 0.94,1.02 ± 0.06,6.48 ± 0.39,14.21,6.32,28.62,-3.205,-2.004,-5.81,-0.4,2.45,-16.17,15.56,105.21,1.02,6.48,NGC 6284,,3.75,0.7280000000000001,831763.7711026708,0.7908059883765701,mid_3_15kpc
Gran 3 Patchick 125,256.256,-35.496,11.47 ± 0.75,3.76 ± 0.66,8,12,3.5 · 104,12.63,1.80,3.73,7.04,10.09,30.21,1.26,0.61,9.4,5.43,4.3,—,-0.58,1.7,6.1,-0.31,-0.1,,,11.47,3.76,35000.0,12.63,1.8,-0.58,,256.256,-35.496,349.756,3.423,11.47 ± 0.75,3.76 ± 0.66,94.87 ± 1.58,-3.851 ± 0.065,0.498 ± 0.049,-0.18,-3.09 ± 0.74,-2.04 ± 0.13,0.68 ± 0.04,-74.88 ± 1.67,134.19 ± 2.94,195.87 ± 3.23,3.55 ± 0.64,4.09 ± 0.79,11.47,3.76,94.87,-3.851,0.498,-3.09,-2.04,0.68,-74.88,134.19,195.87,3.55,4.09,Gran 3 Patchick 125,,3.82,0.07068062827225131,269153.4803926914,0.8699626698159895,mid_3_15kpc
NGC 6760,287.80027,1.03047,8.41 ± 0.43,5.17 ± 0.14,89,338,2.86 ± 0.26 · 105,8.89 ± 0.05,1.91 ± 0.19,1.08,3.35,5.74,73.42,3.52,2.29,9.34,5.93,18.9,0.67 − 0.85,-0.12 ± 0.18,6.6,25.6,-0.3,-0.06,,,8.41,5.17,286000.0,8.89,1.91,-0.12,,287.800268,1.030466,36.108,-3.924,8.41 ± 0.43,5.17 ± 0.14,-2.37 ± 1.27,-1.093 ± 0.008,-3.632 ± 0.007,0.3,1.40 ± 0.35,4.95 ± 0.25,-0.58 ± 0.03,-95.28 ± 1.04,129.61 ± 0.78,-20.16 ± 0.32,1.84 ± 0.07,5.82 ± 0.20,8.41,5.17,-2.37,-1.093,-3.632,1.4,4.95,-0.58,-95.28,129.61,-20.16,1.84,5.82,NGC 6760,,3.83,0.5195822454308094,851138.0382023759,0.6639792992872944,mid_3_15kpc
NGC 6362,262.9791,-67.04833,7.65 ± 0.07,5.20 ± 0.01,572,2042,1.17 ± 0.03 · 105,7.45 ± 0.04,1.73 ± 0.08,2.9,5.13,7.24,50.47,2.15,1.57,9.39,5.65,11.5,0.21 − 0.80,-0.49 ± 0.15,3.7,13.1,-0.23,-0.1,0.47 ± 0.40,75.2,7.65,5.2,117000.0,7.45,1.73,-0.49,0.47,262.979096,-67.048332,325.555,-17.57,7.65 ± 0.07,5.20 ± 0.01,-14.58 ± 0.18,-5.502 ± 0.006,-4.761 ± 0.006,0.07,2.16 ± 0.05,-4.12 ± 0.04,-2.31 ± 0.02,117.09 ± 0.19,40.56 ± 0.20,99.81 ± 0.20,2.64 ± 0.03,5.24 ± 0.02,7.65,5.2,-14.58,-5.502,-4.761,2.16,-4.12,-2.31,117.09,40.56,99.81,2.64,5.24,NGC 6362,,3.9400000000000004,0.3299492385786802,446683.5921509635,0.7380696267875044,mid_3_15kpc
NGC 6366,261.93436,-5.07986,3.44 ± 0.05,5.23 ± 0.04,232,1455,4.66 ± 0.19 · 104,8.85 ± 0.04,2.12 ± 0.12,2.34,3.78,6.42,37.85,1.99,1.32,9.14,5.47,4.7,0.39 − 0.83,-0.32 ± 0.17,2.5,9.1,-0.28,-0.12,0.63 ± 0.60,66.6,3.44,5.23,46600.0,8.85,2.12,-0.32,0.63,261.934357,-5.079861,18.409,16.036,3.44 ± 0.05,5.23 ± 0.04,-120.65 ± 0.19,-0.342 ± 0.008,-5.155 ± 0.008,0.2,5.04 ± 0.05,1.05 ± 0.02,0.95 ± 0.01,65.24 ± 0.18,147.16 ± 0.14,-62.03 ± 0.14,2.24 ± 0.04,5.70 ± 0.04,3.44,5.23,-120.65,-0.342,-5.155,5.04,1.05,0.95,65.24,147.16,-62.03,2.24,5.7,NGC 6366,,3.97,0.4357682619647355,295120.9226666384,0.8420986232391315,mid_3_15kpc
UKS 1,268.61331,-24.14528,15.58 ± 0.56,7.47 ± 0.54,5,0,8.0 · 104,17.29,1.80,1.02,2.99,4.07,48.03,3.15,2.15,8.9,6.19,1.5,—,0.03,4.1,15.7,-0.33,-0.13,,,15.58,7.47,80000.0,17.29,1.8,0.03,,268.613312,-24.145277,5.125,0.764,15.58 ± 0.56,7.47 ± 0.54,59.38 ± 2.63,-0.960 ± 0.207,-2.941 ± 0.135,0.13,-7.34 ± 0.56,1.39 ± 0.05,0.21 ± 0.01,-90.83 ± 2.82,35.25 ± 11.53,-40.64 ± 14.11,0.47 ± 0.15,7.80 ± 0.60,15.58,7.47,59.38,-0.96,-2.941,-7.34,1.39,0.21,-90.83,35.25,-40.64,0.47,7.8,UKS 1,,4.135,0.8863361547762999,1548816.6189124826,0.9483476616772276,mid_3_15kpc
